Occupation,Total fatal injuries (number),Violence and other injuries by persons or animals(3),Transportation incidents(4),Fires and explosions,"Falls, slips, trips",Exposure to harmful substances or environments,Contact with objects and equipment
Motor vehicle operators,1198,76,943,–,35,65,72
"Ambulance drivers and attendants, except emergency medical technicians",1,–,1,–,–,–,–
"Ambulance drivers and attendants, except emergency medical technicians",1,–,1,–,–,–,–
Driver/sales workers and truck drivers,1115,47,895,–,33,62,71
Driver/sales workers,86,15,63,–,–,–,–
Heavy and tractor-trailer truck drivers,934,29,747,–,27,56,–
Light truck drivers,95,3,85,–,–,–,–
Passenger vehicle drivers,68,28,35,–,–,–,–
"Bus drivers, school",8,–,–,–,–,–,–
"Bus drivers, transit and intercity",9,–,–,–,–,–,–
Shuttle drivers and chauffeurs,11,–,7,–,–,–,–
Taxi drivers,40,–,–,–,–,–,–
Miscellaneous motor vehicle operators,14,–,12,–,–,–,–
Rail transportation workers,8,–,–,–,–,–,–
Water transportation workers,23,–,11,–,–,–,6
Ship and boat captains and operators,11,–,6,–,–,–,–
"Captains, mates, and pilots of water vessels",11,–,6,–,–,–,–
Other transportation workers,12,–,–,–,–,–,–
Parking attendants,4,–,–,–,–,–,–
Parking attendants,4,–,–,–,–,–,–
Material moving workers,281,–,87,–,38,63,55
Crane and tower operators,12,–,–,–,–,3,–
Crane and tower operators,12,–,–,–,–,3,–
Dredge operators,1,–,–,–,–,–,–
Dredge operators,1,–,–,–,–,–,–
Industrial truck and tractor operators,56,–,27,–,–,15,9
Industrial truck and tractor operators,56,–,27,–,–,15,9
Laborers and material movers,182,–,39,–,33,42,38
Cleaners of vehicles and equipment,10,–,4,–,–,–,–
"Laborers and freight, stock, and material movers, hand",142,–,35,–,24,32,34
"Packers and packagers, hand",8,–,–,–,–,–,–
Stockers and order fillers,22,–,–,–,–,6,–
Refuse and recyclable material collectors,22,–,16,–,–,–,–
Refuse and recyclable material collectors,22,–,16,–,–,–,–
Miscellaneous material moving workers,3,–,–,–,–,–,–
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Footnotes:,,,,,,,
"(1) CFOI has used several versions of the Standard Occupation Classification (SOC) system since 2003 to define occupation. For complete information on the version of SOC used in this year, see our definitions page at https://www.bls.gov/iif/definitions/census-of-fatal-occupational-injuries-definitions.htm. Cases where occupation is unknown are included in the total.",,,,,,,
(2) Based on the BLS Occupational Injury and Illness Classification System (OIICS) 2.01 implemented for 2011 data forward.,,,,,,,
"(3) Includes violence by persons, self-inflicted injury, and attacks by animals.",,,,,,,
"(4) Includes roadway, nonroadway, air, water, rail fatal occupational injuries, and fatal occupational injuries resulting from being struck by a vehicle.",,,,,,,
Note: Data for all years are final. Totals for major categories may include subcategories not shown separately. For complete information on how the data are coded and presented see our definitions page at https://www.bls.gov/iif/definitions/census-of-fatal-occupational-injuries-definitions.htm. Dashes indicate no data reported or data that do not meet publication criteria. CFOI fatal injury counts exclude illness-related deaths unless precipitated by an injury event.  ,,,,,,,
"Source: U.S. Department of Labor, Bureau of Labor Statistics, in cooperation with state, New York City, District of Columbia, and federal agencies, Census of Fatal Occupational Injuries, December 2023",,,,,,,
